actinifère,actinifères,actinifère,actinifères
actinique,actiniques,actinique,actiniques
actinologique,actinologiques,actinologique,actinologiques
actinomorphe,actinomorphes,actinomorphe,actinomorphes
actinomycosique,actinomycosiques,actinomycosique,actinomycosiques
actinométrique,actinométriques,actinométrique,actinométriques
actinorhizien,actinorhiziens,actinorhizienne,actinorhiziennes
actionnable,actionnables,actionnable,actionnables
actionnaliste,actionnalistes,actionnaliste,actionnalistes
activable,activables,activable,activables
activateur,activateurs,activatrice,activatrices
activiste,activistes,activiste,activistes
activé,activés,activée,activées
actualisateur,actualisateurs,actualisatrice,actualisatrices
actuariel,actuariels,actuarielle,actuarielles
actuel,actuels,actuelle,actuelles
aculéate,aculéates,aculéate,aculéates
aculéiforme,aculéiformes,aculéiforme,aculéiformes
acuminifère,acuminifères,acuminifère,acuminifères
acuminé,acuminés,acuminée,acuminées
acupunctural,acupuncturaux,acupuncturale,acupuncturales
acutangle,acutangles,acutangle,acutangles
acutangulé,acutangulés,acutangulée,acutangulées
acutifolié,acutifoliés,acutifoliée,acutifoliées
acutilobé,acutilobés,acutilobée,acutilobées
acutirostre,acutirostres,acutirostre,acutirostres
acyclique,acycliques,acyclique,acycliques
acyloïnique,acyloïniques,acyloïnique,acyloïniques
acère,acères,acère,acères
acéphale,acéphales,acéphale,acéphales
acéré,acérés,acérée,acérées
acétabulaire,acétabulaires,acétabulaire,acétabulaires
acéteux,acéteux,acéteuse,acéteuses
acétimétrique,acétimétriques,acétimétrique,acétimétriques
acétique,acétiques,acétique,acétiques
acétonique,acétoniques,acétonique,acétoniques
acétonurique,acétonuriques,acétonurique,acétonuriques
acétonémique,acétonémiques,acétonémique,acétonémiques
acétylacétique,acétylacétiques,acétylacétique,acétylacétiques
acétylcholinolytique,acétylcholinolytiques,acétylcholinolytique,acétylcholinolytiques
acétylcholinomimétique,acétylcholinomimétiques,acétylcholinomimétique,acétylcholinomimétiques
acétylique,acétyliques,acétylique,acétyliques
acétylsalicylique,acétylsalicyliques,acétylsalicylique,acétylsalicyliques
acétylénique,acétyléniques,acétylénique,acétyléniques
acône,acônes,acône,acônes
adamantin,adamantins,adamantine,adamantines
adamien,adamiens,adamienne,adamiennes
adamique,adamiques,adamique,adamiques
adamite,adamites,adamite,adamites
adaptable,adaptables,adaptable,adaptables
adaptatif,adaptatifs,adaptative,adaptatives
