agrémenté;agrémentés;agrémentée;agrémentées
aguerri;aguerris;aguerrie;aguerries
aguetté;aguettés;aguettée;aguettées
aguiché;aguichés;aguichée;aguichées
ahané;ahanés;ahanée;ahanées
aheurté;aheurtés;aheurtée;aheurtées
ahonté;ahontés;ahontée;ahontées
ahuri;ahuris;ahurie;ahuries
aidé;aidés;aidée;aidées
aigri;aigris;aigrie;aigries
aiguayé;aiguayés;aiguayée;aiguayées
aiguillé;aiguillés;aiguillée;aiguillées
aiguilleté;aiguilletés;aiguilletée;aiguilletées
aiguillonné;aiguillonnés;aiguillonnée;aiguillonnées
aiguisé;aiguisés;aiguisée;aiguisées
ailé;ailés;ailée;ailées
aillé;aillés;aillée;aillées
aimanté;aimantés;aimantée;aimantées
aimé;aimés;aimée;aimées
airé;airés;airée;airées
ajointé;ajointés;ajointée;ajointées
ajouré;ajourés;ajourée;ajourées
ajourné;ajournés;ajournée;ajournées
ajouté;ajoutés;ajoutée;ajoutées
ajusté;ajustés;ajustée;ajustées
ajuté;ajutés;ajutée;ajutées
alambiqué;alambiqués;alambiquée;alambiquées
alangouré;alangourés;alangourée;alangourées
alangouri;alangouris;alangourie;alangouries
alangui;alanguis;alanguie;alanguies
alargué;alargués;alarguée;alarguées
alarmé;alarmés;alarmée;alarmées
albuminé;albuminés;albuminée;albuminées
alcalinisé;alcalinisés;alcalinisée;alcalinisées
alcalisé;alcalisés;alcalisée;alcalisées
alcoolisé;alcoolisés;alcoolisée;alcoolisées
alenti;alentis;alentie;alenties
alerté;alertés;alertée;alertées
aleviné;alevinés;alevinée;alevinées
algébrisé;algébrisés;algébrisée;algébrisées
aligné;alignés;alignée;alignées
alimenté;alimentés;alimentée;alimentées
alité;alités;alitée;alitées
aliéné;aliénés;aliénée;aliénées
allaité;allaités;allaitée;allaitées
allé;allés;allée;allées
allié;alliés;alliée;alliées
allitéré;allitérés;allitérée;allitérées
allocutionné;allocutionnés;allocutionnée;allocutionnées
allongé;allongés;allongée;allongées
alloti;allotis;allotie;alloties
alloué;alloués;allouée;allouées
alludé;alludés;alludée;alludées
allumé;allumés;allumée;allumées
allusionné;allusionnés;allusionnée;allusionnées
alluvionné;alluvionnés;alluvionnée;alluvionnées
alléché;alléchés;alléchée;alléchées
allégé;allégés;allégée;allégées
allégi;allégis;allégie;allégies
allégorisé;allégorisés;allégorisée;allégorisées
allégré;allégrés;allégrée;allégrées
allégué;allégués;alléguée;alléguées
allégéri;allégéris;allégérie;allégéries
alourdi;alourdis;alourdie;alourdies
aloyé;aloyés;aloyée;aloyées
alphabétisé;alphabétisés;alphabétisée;alphabétisées
alterné;alternés;alternée;alternées
altéré;altérés;altérée;altérées
aluminé;aluminés;aluminée;aluminées
aluné;alunés;alunée;alunées
aluni;alunis;alunie;alunies
alâchi;alâchis;alâchie;alâchies
alésé;alésés;alésée;alésées
amabilisé;amabilisés;amabilisée;amabilisées
amadoué;amadoués;amadouée;amadouées
amaigri;amaigris;amaigrie;amaigries
amalgamé;amalgamés;amalgamée;amalgamées
amariné;amarinés;amarinée;amarinées
amarré;amarrés;amarrée;amarrées
amassé;amassés;amassée;amassées
amateloté;amatelotés;amatelotée;amatelotées
amatelotté;amatelottés;amatelottée;amatelottées
amati;amatis;amatie;amaties
ambitionné;ambitionnés;ambitionnée;ambitionnées
amblé;amblés;amblée;amblées
ambré;ambrés;ambrée;ambrées
ambulé;ambulés;ambulée;ambulées
amendé;amendés;amendée;amendées
amené;amenés;amenée;amenées
amenuisé;amenuisés;amenuisée;amenuisées
amerri;amerris;amerrie;amerries
amertumé;amertumés;amertumée;amertumées
ameublé;ameublés;ameublée;ameublées
ameubli;ameublis;ameublie;ameublies
ameuté;ameutés;ameutée;ameutées
amiaulé;amiaulés;amiaulée;amiaulées
amicoté;amicotés;amicotée;amicotées
amidonisé;amidonisés;amidonisée;amidonisées
amidonné;amidonnés;amidonnée;amidonnées
amignardé;amignardés;amignardée;amignardées
amignonné;amignonnés;amignonnée;amignonnées
amignoté;amignotés;amignotée;amignotées
amignotté;amignottés;amignottée;amignottées
amignouté;amignoutés;amignoutée;amignoutées
aminci;amincis;amincie;amincies
amnistié;amnistiés;amnistiée;amnistiées
amoché;amochés;amochée;amochées
amodié;amodiés;amodiée;amodiées
amoindri;amoindris;amoindrie;amoindries
amolli;amollis;amollie;amollies
amoncelé;amoncelés;amoncelée;amoncelées
amorcé;amorcés;amorcée;amorcées
amorti;amortis;amortie;amorties
amouraché;amourachés;amourachée;amourachées
amouré;amourés;amourée;amourées
amplié;ampliés;ampliée;ampliées
amplifié;amplifiés;amplifiée;amplifiées
amputé;amputés;amputée;amputées
amuré;amurés;amurée;amurées
amusé;amusés;amusée;amusées
amusoté;amusotés;amusotée;amusotées
amélioré;améliorés;améliorée;améliorées
aménagé;aménagés;aménagée;aménagées
américanisé;américanisés;américanisée;américanisées
anagrammatisé;anagrammatisés;anagrammatisée;anagrammatisées
anagrammé;anagrammés;anagrammée;anagrammées
analysé;analysés;analysée;analysées
anaphylactisé;anaphylactisés;anaphylactisée;anaphylactisées
anarchisé;anarchisés;anarchisée;anarchisées
anastomosé;anastomosés;anastomosée;anastomosées
anathématisé;anathématisés;anathématisée;anathématisées
anatomisé;anatomisés;anatomisée;anatomisées
ancré;ancrés;ancrée;ancrées
anecdotisé;anecdotisés;anecdotisée;anecdotisées
anesthésié;anesthésiés;anesthésiée;anesthésiées
anglaisé;anglaisés;anglaisée;anglaisées
anglé;anglés;anglée;anglées
anglicisé;anglicisés;anglicisée;anglicisées
angoissé;angoissés;angoissée;angoissées
angélisé;angélisés;angélisée;angélisées
angélusé;angélusés;angélusée;angélusées
anhélé;anhélés;anhélée;anhélées
animalisé;animalisés;animalisée;animalisées
animé;animés;animée;animées
anisé;anisés;anisée;anisées
ankylosé;ankylosés;ankylosée;ankylosées
annelé;annelés;annelée;annelées
annexé;annexés;annexée;annexées
annihilé;annihilés;annihilée;annihilées
annoncé;annoncés;annoncée;annoncées
annoté;annotés;annotée;annotées
annulé;annulés;annulée;annulées
anobli;anoblis;anoblie;anoblies
anonchali;anonchalis;anonchalie;anonchalies
anordi;anordis;anordie;anordies
anormalisé;anormalisés;anormalisée;anormalisées
ansé;ansés;ansée;ansées
antagonisé;antagonisés;antagonisée;antagonisées
anthropomorphisé;anthropomorphisés;anthropomorphisée;anthropomorphisées
anticipé;anticipés;anticipée;anticipées
antidaté;antidatés;antidatée;antidatées
antidoté;antidotés;antidotée;antidotées
antiseptisé;antiseptisés;antiseptisée;antiseptisées
antécédé;antécédés;antécédée;antécédées
anuité;anuités;anuitée;anuitées
anéanti;anéantis;anéantie;anéanties
anémié;anémiés;anémiée;anémiées
aoûté;aoûtés;aoûtée;aoûtées
apaisé;apaisés;apaisée;apaisées
apanagé;apanagés;apanagée;apanagées
aperçu;aperçus;aperçue;aperçues
apetissé;apetissés;apetissée;apetissées
apeuré;apeurés;apeurée;apeurées
apiqué;apiqués;apiquée;apiquées
apitoyé;apitoyés;apitoyée;apitoyées
apiécé;apiécés;apiécée;apiécées
apiégé;apiégés;apiégée;apiégées
apiétri;apiétris;apiétrie;apiétries
aplani;aplanis;aplanie;aplanies
aplati;aplatis;aplatie;aplaties
aplombé;aplombés;aplombée;aplombées
aplété;aplétés;aplétée;aplétées
apologisé;apologisés;apologisée;apologisées
apoltronné;apoltronnés;apoltronnée;apoltronnées
aponiché;aponichés;aponichée;aponichées
apostasié;apostasiés;apostasiée;apostasiées
aposté;apostés;apostée;apostées
apostillé;apostillés;apostillée;apostillées
apostolisé;apostolisés;apostolisée;apostolisées
apostrophé;apostrophés;apostrophée;apostrophées
apostumé;apostumés;apostumée;apostumées
apothéosé;apothéosés;apothéosée;apothéosées
appairé;appairés;appairée;appairées
apparu;apparus;apparue;apparues
appareillé;appareillés;appareillée;appareillées
apparenté;apparentés;apparentée;apparentées
apparié;appariés;appariée;appariées
appartenu;appartenus;appartenue;appartenues
appauvri;appauvris;appauvrie;appauvries
appelé;appelés;appelée;appelées
appendu;appendus;appendue;appendues
appesanti;appesantis;appesantie;appesanties
appiégé;appiégés;appiégée;appiégées
applaudi;applaudis;applaudie;applaudies
appletté;applettés;applettée;applettées
appliqué;appliqués;appliquée;appliquées
appoggiaturé;appoggiaturés;appoggiaturée;appoggiaturées
appogiaturé;appogiaturés;appogiaturée;appogiaturées
appointé;appointés;appointée;appointées
appointi;appointis;appointie;appointies
appoisé;appoisés;appoisée;appoisées
appoltronné;appoltronnés;appoltronnée;appoltronnées
apponté;appontés;appontée;appontées
apporté;apportés;apportée;apportées
apposé;apposés;apposée;apposées
appris;;apprise;apprises
apprivoisé;apprivoisés;apprivoisée;apprivoisées
approché;approchés;approchée;approchées
approfondi;approfondis;approfondie;approfondies
approprié;appropriés;appropriée;appropriées
approuvé;approuvés;approuvée;approuvées
approvisionné;approvisionnés;approvisionnée;approvisionnées
approximé;approximés;approximée;approximées
apprécié;appréciés;appréciée;appréciées
appréhendé;appréhendés;appréhendée;appréhendées
apprésenté;apprésentés;apprésentée;apprésentées
apprêté;apprêtés;apprêtée;apprêtées
appuyé;appuyés;appuyée;appuyées
appâli;appâlis;appâlie;appâlies
appâté;appâtés;appâtée;appâtées
appété;appétés;appétée;appétées
apuré;apurés;apurée;apurées
apâli;apâlis;apâlie;apâlies
apâturé;apâturés;apâturée;apâturées
aquarellé;aquarellés;aquarellée;aquarellées
aquillaudé;aquillaudés;aquillaudée;aquillaudées
arabisé;arabisés;arabisée;arabisées
arasé;arasés;arasée;arasées
araudé;araudés;araudée;araudées
arbitragé;arbitragés;arbitragée;arbitragées
arbitré;arbitrés;arbitrée;arbitrées
arboré;arborés;arborée;arborées
arborisé;arborisés;arborisée;arborisées
arbreté;arbretés;arbretée;arbretées
archaïsé;archaïsés;archaïsée;archaïsées
architecturé;architecturés;architecturée;architecturées
archivé;archivés;archivée;archivées
arcpincé;arcpincés;arcpincée;arcpincées
ardoisé;ardoisés;ardoisée;ardoisées
aré;arés;arée;arées
argamassé;argamassés;argamassée;argamassées
argenté;argentés;argentée;argentées
argoté;argotés;argotée;argotées
argotisé;argotisés;argotisée;argotisées
argué;argués;arguée;arguées
argumenté;argumentés;argumentée;argumentées
aristocratisé;aristocratisés;aristocratisée;aristocratisées
arithmétisé;arithmétisés;arithmétisée;arithmétisées
arlequiné;arlequinés;arlequinée;arlequinées
armé;armés;armée;armées
armorié;armoriés;armoriée;armoriées
arnaqué;arnaqués;arnaquée;arnaquées
aromatisé;aromatisés;aromatisée;aromatisées
arpenté;arpentés;arpentée;arpentées
arpégé;arpégés;arpégée;arpégées
arquebusé;arquebusés;arquebusée;arquebusées
arquepincé;arquepincés;arquepincée;arquepincées
arqué;arqués;arquée;arquées
arraché;arrachés;arrachée;arrachées
arraisonné;arraisonnés;arraisonnée;arraisonnées
arrangé;arrangés;arrangée;arrangées
arrenté;arrentés;arrentée;arrentées
arrhé;arrhés;arrhée;arrhées
arrimé;arrimés;arrimée;arrimées
arriolé;arriolés;arriolée;arriolées
arrisé;arrisés;arrisée;arrisées
arrivé;arrivés;arrivée;arrivées
arriéré;arriérés;arriérée;arriérées
arrogé;arrogés;arrogée;arrogées
arrondi;arrondis;arrondie;arrondies
arrosé;arrosés;arrosée;arrosées
arréragé;arréragés;arréragée;arréragées
arrêté;arrêtés;arrêtée;arrêtées
arsouillé;arsouillés;arsouillée;arsouillées
articlé;articlés;articlée;articlées
articulé;articulés;articulée;articulées
artificié;artificiés;artificiée;artificiées
artistiqué;artistiqués;artistiquée;artistiquées
artérialisé;artérialisés;artérialisée;artérialisées
arçonné;arçonnés;arçonnée;arçonnées
aréné;arénés;arénée;arénées
ascendé;ascendés;ascendée;ascendées
ascendu;ascendus;ascendue;ascendues
ascensionné;ascensionnés;ascensionnée;ascensionnées
ascétisé;ascétisés;ascétisée;ascétisées
aseptisé;aseptisés;aseptisée;aseptisées
asiatisé;asiatisés;asiatisée;asiatisées
aspecté;aspectés;aspectée;aspectées
aspergé;aspergés;aspergée;aspergées
