MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
accumulation;accumulations;;
accumulis;;;
accusateur;accusateurs;accusatrice;accusatrices
accusatif;accusatifs;;
accusation;accusations;;
accès;;;
accélérateur;accélérateurs;;
accélération;accélérations;;
accélérifère;accélérifères;;
accélérine;accélérines;;
accélérographe;accélérographes;;
accéléromètre;accéléromètres;;
accéléré;accélérés;;
ace;aces;;
aceinturage;aceinturages;;
acens;;;
acerbité;acerbités;;
acerdèse;acerdèses;;
acescence;acescences;;
acetabula;acetabulas;;
achaine;achaines;;
achalandage;achalandages;;
achar;achars;;
acharnement;acharnements;;
achat;achats;;
achate;achates;;
ache;aches;;
achement;achements;;
acheminement;acheminements;;
acheteresse;acheteresses;;
acheteur;acheteurs;acheteuse;acheteuses
achetoir;achetoirs;;
achetoires;;;
acheuléen;acheuléens;;
achevage;achevages;;
acheveur;acheveurs;acheveuse;acheveuses
achevoir;achevoirs;;
achevé;achevés;;
achigan;achigans;;
achilienne;achiliennes;;
achillée;achillées;;
achilléine;achilléines;;
achillétine;achillétines;;
achire;achires;;
achirite;achirites;;
achit;achits;;
achondroplase;achondroplases;;
achondroplasie;achondroplasies;;
achoppement;achoppements;;
achores;;;
achour;achours;;
achromatisation;achromatisations;;
achromatisme;achromatismes;;
achromatopsie;achromatopsies;;
achromie;achromies;;
achrone;achrones;;
achronie;achronies;;
achroodextrine;achroodextrines;;
achylie;achylies;;
achèvement;achèvements;;
achée;achées;;
achéen;achéens;achéenne;achéennes
achérontie;achéronties;;
achôcre;achôcres;;
acicule;acicules;;
acidage;acidages;;
acide;acides;;
acidification;acidifications;;
acidimètre;acidimètres;;
acidimétrie;acidimétries;;
acidité;acidités;;
acidose;acidoses;;
acidote;acidotes;;
acidoton;acidotons;;
acidulage;acidulages;;
acidulation;acidulations;;
acier;aciers;;
acinace;acinaces;;
acinacée;acinacées;;
acine;acines;;
acineta;acinetas;;
acinier;aciniers;;
acinus;acini;;
acinèse;acinèses;;
acinésie;acinésies;;
acinétidé;acinétidés;;
acinétien;acinétiens;;
aciole;acioles;;
aciérage;aciérages;;
aciération;aciérations;;
aciérie;aciéries;;
aciériste;aciéristes;;
aclopin;aclopins;;
acmite;acmites;;
acmé;acmés;;
acné;acnés;;
acnéique;acnéiques;;
acolyctine;acolyctines;;
acolytat;acolytats;;
acolyte;acolytes;;
acomas;;;
acomat;acomats;;
acompte;acomptes;;
aconit;aconits;;
aconitase;aconitases;;
aconitate;aconitates;;
aconitine;aconitines;;
acontie;aconties;;
acoquinement;acoquinements;;
acore;acores;;
acorine;acorines;;
acorinée;acorinées;;
