MOT;PLURIEL;FÉMININ;FEMININ_PLURIEL
adnominal;adnominaux;adnominale;adnominales
adné;adnés;adnée;adnées
adolescent;adolescents;adolescente;adolescentes
adoloré;adolorés;adolorée;adolorées
adonien;adoniens;adonienne;adoniennes
adonique;adoniques;;adonisiens
adonisien;adonisiens;adonisienne;adonisiennes
adonné;adonnés;adonnée;adonnées
adoptable;adoptables;;adoptiens
adoptien;adoptiens;adoptienne;adoptiennes
adoptif;adoptifs;adoptive;adoptives
adopté;adoptés;adoptée;adoptées
adorable;adorables;;adoraux
adoral;adoraux;adorale;adorales
adorant;adorants;adorante;adorantes
adorateur;adorateurs;adoratrice;adoratrices
adoratif;adoratifs;adorative;adoratives
adoré;adorés;adorée;adorées
adossé;adossés;adossée;adossées
adouci;adoucis;adoucie;adoucies
adoucissant;adoucissants;adoucissante;adoucissantes
adoucisseur;adoucisseurs;adoucisseuse;adoucisseuses
adoué;adoués;adouée;adouées
adragant;adragants;adragante;adragantes
adressable;adressables;;adressants
adressant;adressants;adressante;adressantes
adriatique;adriatiques;;adroits
adroit;adroits;adroite;adroites
adsorbable;adsorbables;;adsorbants
adsorbant;adsorbants;adsorbante;adsorbantes
adulateur;adulateurs;adulatrice;adulatrices
adulatif;adulatifs;adulative;adulatives
adulte;adultes;;adultères
adultère;adultères;;adultérateurs
adultérateur;adultérateurs;adultératrice;adultératrices
adultérin;adultérins;adultérine;adultérines
adultéré;adultérés;adultérée;adultérées
adurant;adurants;adurante;adurantes
adurent;adurents;adurente;adurentes
aduste;adustes;;advenants
advenant;advenants;advenante;advenantes
adventice;adventices;;adventifs
adventif;adventifs;adventive;adventives
adventiste;adventistes;;adventitiels
adventitiel;adventitiels;adventitielle;adventitielles
advenu;advenus;advenue;advenues
adverbal;adverbaux;adverbale;adverbales
adverbial;adverbiaux;adverbiale;adverbiales
adversaire;adversaires;;adversatifs
adversatif;adversatifs;adversative;adversatives
adverse;adverses;;adynamiques
adynamique;adynamiques;;adécoratifs
adécoratif;adécoratifs;adécorative;adécoratives
adénitique;adénitiques;;adéphages
adéphage;adéphages;;adéquats
adéquat;adéquats;adéquate;adéquates
aegilopiné;aegilopinés;aegilopinée;aegilopinées
aethéogame;aethéogames;;afaubrettis
afaubretti;afaubrettis;afaubrettie;afaubretties
affable;affables;;affadis
affadi;affadis;affadie;affadies
affadissant;affadissants;affadissante;affadissantes
affaibli;affaiblis;affaiblie;affaiblies
affaiblissant;affaiblissants;affaiblissante;affaiblissantes
affaiblisseur;affaiblisseurs;affaiblisseuse;affaiblisseuses
affainéanti;affainéantis;affainéantie;affainéanties
affaireux;affaireuse;affaireuses;
affairé;affairés;affairée;affairées
affaissé;affaissés;affaissée;affaissées
affalé;affalés;affalée;affalées
affamant;affamants;affamante;affamantes
affameur;affameurs;affameuse;affameuses
affamé;affamés;affamée;affamées
affectable;affectables;;affectants
affectant;affectants;affectante;affectantes
affectif;affectifs;affective;affectives
affectionné;affectionnés;affectionnée;affectionnées
affectueux;affectueuse;affectueuses;
affermi;affermis;affermie;affermies
